symptom a ,symptom b,symptom c,problem,severity,estimated fix price,self fixing tip,tow truck required ,,10 different symptoms
טמפרטורת מנוע גבוהה,מזג האוויר חם,דולקת נורת אזהרה של מפלס קירור נמוך,חסר נוזל קירור,,,,,,10 different problems
טמפרטורת מנוע גבוהה,מזג האוויר חם,לא דולקת נורת אזהרה של מפלס קירור נמוך,מערכת הקירור נסתמה - צריך לנקות אותה,,,,,,
טמפרטורת מנוע גבוהה,זה קורה לאחר נסיעה ממושכת,המזגן דולק המון,לבדוק את יחידת האוורור,,,,,,
טמפרטורת מנוע גבוהה,זה קורה לאחר נסיעה ממושכת,המזגן לא דולק המון,ייתכן שחגורת האלטרנטור מחליקה או מצמד מאוורר פגום,,,,,,
האוטו מוציא עשן,עשן בצבע שחור,העשן יוצא מהאגזוז תוך כדי נסיעה,לבדוק אם מסנן האוויר נקי. אם כן אז לבדוק את חיישן הזרקת הדלק,,,,,,
האוטו מוציא עשן,עשן בצבע שחור,העשן יוצא בזמן ההתנעה ולאחר מכן מפסיק,ייתכן שחיישן המנוע תקוןל,,,,,,
האוטו מוציא עשן,עשן בצבע לבן,העשן יוצא מהאגזוז תוך כדי נסיעה גם אחרי שהמנוע התחמם,ייתכן שצריך אטם ראש מנוע חדש,,,,,,
האוטו מוציא עשן,עשן בצבע לבן,העשן יוצא מהאגזוז תוך כדי נסיעה ומפסיק אחרי שהמנוע התחמם,זהו מצב נורמלי,,,,,,
האוטו מוציא עשן,עשן בצבע לבן,מזג אוויר קר,זהו מצב נורמלי,,,,,,
האוטו מוציא עשן,עשן בצבע לבן,העשן יוצא בזמן ההתנעה ולאחר מכן מפסיק,ייתכן וחיישן המנוע תקול,,,,,,
האוטו מוציא רעש,רעש בלמים,רעש שחיקה,יש להחליף את רפידות הבלמים,,,,,,
האוטו מוציא רעש,רעש בלמים,"רעש ""קליק"" מחזית הרכב",צריך לבדוק את יחידת הבלמים,,,,,,
האוטו מוציא רעש,רעש בלמים,רעש מוזר,הקפיצים/ברגי הקליפר רופפים,,,,,,
האוטו רועד,כל האוטו רועד,זה קורה בזמן בלימה,בעיית התאמה בין רפידות הבלמים והדיסקים הקדמיים,,,,,,
האוטו רועד,כל האוטו רועד,זה קורה בזמן האצה,לבדוק דליפת וואקום או לחות במכסה המפלג (דסטרביוטר),,,,,,
האוטו רועד,כל האוטו רועד,זה קורה בזמן נהיגה במהירות מסוימת,לבדוק איזון של ארבעת הגלגלים,,,,,,
האוטו רועד,דוושת הבלמים רועדת,בבלימה יש גם רעידות מהחלק הקדמי,בעיית התאמה בין רפידות הבלמים והדיסקים הקדמיים,,,,,,
